,ti_uid,indication_mesh_term,gene_name,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,gene_id,disease_relevant_tissues,dtr_blood,dtr_bone_marrow,dtr_brain,dtr_colon,dtr_esophagus,dtr_eye,dtr_heart,dtr_kidney,dtr_liver,dtr_lung,dtr_nose,dtr_pancreas,dtr_prostate,dtr_skin,dtr_small_intestine,genetic_evidence_minikel
32,CLCN2-D002545,Brain Ischemia,CLCN2,Phase II,True,True,False,,unsupported target,ENSG00000114859,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CNR1-D002545,Brain Ischemia,CNR1,Phase I,True,False,,,unsupported target,ENSG00000118432,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,CPB2-D002545,Brain Ischemia,CPB2,Phase II,True,True,False,,unsupported target,ENSG00000080618,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CSF3-D002545,Brain Ischemia,CSF3,Preclinical,False,,,,unsupported target,ENSG00000108342,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CSF3R-D002545,Brain Ischemia,CSF3R,Preclinical,False,,,,unsupported target,ENSG00000119535,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CXCL12-D002545,Brain Ischemia,CXCL12,Preclinical,False,,,,unsupported target,ENSG00000107562,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CXCR4-D002545,Brain Ischemia,CXCR4,Phase I,True,False,,,unsupported target,ENSG00000121966,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,DAPK1-D002545,Brain Ischemia,DAPK1,Preclinical,,,,,unsupported target,ENSG00000196730,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,DLG4-D002545,Brain Ischemia,DLG4,Phase I,True,,,,unsupported target,ENSG00000132535,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,DPYSL2-D002545,Brain Ischemia,DPYSL2,Phase II,True,True,,,unsupported target,ENSG00000092964,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,EDNRB-D002545,Brain Ischemia,EDNRB,Launched,True,True,True,True,unsupported target,ENSG00000136160,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,EGLN2-D002545,Brain Ischemia,EGLN2,Phase II,True,True,False,,unsupported target,ENSG00000269858,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,ELANE-D002545,Brain Ischemia,ELANE,Preclinical,False,,,,unsupported target,ENSG00000197561,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ENTPD1-D002545,Brain Ischemia,ENTPD1,Preclinical,False,,,,unsupported target,ENSG00000138185,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,ENTPD3-D002545,Brain Ischemia,ENTPD3,Preclinical,False,,,,unsupported target,ENSG00000168032,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,EPHX2-D002545,Brain Ischemia,EPHX2,Phase II,True,True,,,unsupported target,ENSG00000120915,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,EPOR-D002545,Brain Ischemia,EPOR,Phase II,True,True,False,,unsupported target,ENSG00000187266,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ESR1-D002545,Brain Ischemia,ESR1,Preclinical,False,,,,unsupported target,ENSG00000091831,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,F10-D002545,Brain Ischemia,F10,Launched,True,True,True,True,unsupported target,ENSG00000126218,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,F11-D002545,Brain Ischemia,F11,Phase II,True,True,,,unsupported target,ENSG00000088926,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,F12-D002545,Brain Ischemia,F12,Preclinical,False,,,,unsupported target,ENSG00000131187,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,F2-D002545,Brain Ischemia,F2,Launched,True,True,True,True,unsupported target,ENSG00000180210,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,F2R-D002545,Brain Ischemia,F2R,Phase II,True,True,False,,unsupported target,ENSG00000181104,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,F2RL3-D002545,Brain Ischemia,F2RL3,Phase II,True,True,False,,unsupported target,ENSG00000127533,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,F8-D002545,Brain Ischemia,F8,Phase II,True,True,False,,unsupported target,ENSG00000185010,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,F9-D002545,Brain Ischemia,F9,Phase II,True,True,False,,unsupported target,ENSG00000101981,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,FASLG-D002545,Brain Ischemia,FASLG,Preclinical,False,,,,unsupported target,ENSG00000117560,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,FGF1-D002545,Brain Ischemia,FGF1,Preclinical,,,,,unsupported target,ENSG00000113578,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,FGF18-D002545,Brain Ischemia,FGF18,Preclinical,False,,,,unsupported target,ENSG00000156427,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,FGFR1-D002545,Brain Ischemia,FGFR1,Phase II,True,True,False,,unsupported target,ENSG00000077782,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,FKBP4-D002545,Brain Ischemia,FKBP4,Phase I,True,False,,,unsupported target,ENSG00000004478,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,FKBP8-D002545,Brain Ischemia,FKBP8,Preclinical,False,,,,unsupported target,ENSG00000105701,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,FZD4-D002545,Brain Ischemia,FZD4,Preclinical,,,,,unsupported target,ENSG00000174804,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,GABRA1-D002545,Brain Ischemia,GABRA1,Preclinical,False,,,,unsupported target,ENSG00000022355,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,GABRA5-D002545,Brain Ischemia,GABRA5,Phase II,True,True,False,,unsupported target,ENSG00000186297,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,GDF11-D002545,Brain Ischemia,GDF11,Preclinical,,,,,unsupported target,ENSG00000135414,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,GDNF-D002545,Brain Ischemia,GDNF,Preclinical,,,,,unsupported target,ENSG00000168621,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,GHSR-D002545,Brain Ischemia,GHSR,Preclinical,False,,,,unsupported target,ENSG00000121853,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,GJA1-D002545,Brain Ischemia,GJA1,Preclinical,,,,,unsupported target,ENSG00000152661,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,GP6-D002545,Brain Ischemia,GP6,Phase III,True,True,True,,unsupported target,ENSG00000088053,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,GRIA1-D002545,Brain Ischemia,GRIA1,Phase I,True,False,,,unsupported target,ENSG00000155511,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,GRIN1-D002545,Brain Ischemia,GRIN1,Phase III,True,True,True,,unsupported target,ENSG00000176884,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,GRIN2B-D002545,Brain Ischemia,GRIN2B,Phase I,True,,,,unsupported target,ENSG00000273079,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,GRM2-D002545,Brain Ischemia,GRM2,Preclinical,False,,,,unsupported target,ENSG00000164082,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,GRM4-D002545,Brain Ischemia,GRM4,Phase I,True,False,,,unsupported target,ENSG00000124493,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,GRM5-D002545,Brain Ischemia,GRM5,Preclinical,False,,,,unsupported target,ENSG00000168959,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,GRM7-D002545,Brain Ischemia,GRM7,Phase I,True,False,,,unsupported target,ENSG00000196277,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,GSK3B-D002545,Brain Ischemia,GSK3B,Phase III,True,True,True,,unsupported target,ENSG00000082701,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,HMGB1-D002545,Brain Ischemia,HMGB1,Phase II,True,True,,,unsupported target,ENSG00000189403,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,HRH1-D002545,Brain Ischemia,HRH1,Preclinical,False,,,,unsupported target,ENSG00000196639,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,HSPA1A-D002545,Brain Ischemia,HSPA1A,Preclinical,False,,,,unsupported target,ENSG00000204389,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,HTR2A-D002545,Brain Ischemia,HTR2A,Preclinical,,,,,unsupported target,ENSG00000102468,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,IGF1R-D002545,Brain Ischemia,IGF1R,Phase II,True,True,False,,unsupported target,ENSG00000140443,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,IGFBP2-D002545,Brain Ischemia,IGFBP2,Phase II,True,True,False,,unsupported target,ENSG00000115457,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,IGFBP3-D002545,Brain Ischemia,IGFBP3,Preclinical,,,,,unsupported target,ENSG00000146674,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,IL1B-D002545,Brain Ischemia,IL1B,Phase III,True,True,True,False,unsupported target,ENSG00000125538,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,INSR-D002545,Brain Ischemia,INSR,Preclinical,,,,,unsupported target,ENSG00000171105,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ITGA2B-D002545,Brain Ischemia,ITGA2B,Phase II,True,True,False,,unsupported target,ENSG00000005961,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ITGB3-D002545,Brain Ischemia,ITGB3,Phase II,True,True,False,,unsupported target,ENSG00000259207,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,KCNMB1-D002545,Brain Ischemia,KCNMB1,Phase I,True,False,,,unsupported target,ENSG00000145936,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,LGALS3-D002545,Brain Ischemia,LGALS3,Preclinical,,,,,unsupported target,ENSG00000131981,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,LHCGR-D002545,Brain Ischemia,LHCGR,Phase II,True,True,False,,unsupported target,ENSG00000138039,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,LRP1-D002545,Brain Ischemia,LRP1,Preclinical,False,,,,unsupported target,ENSG00000123384,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,LRP5-D002545,Brain Ischemia,LRP5,Preclinical,,,,,unsupported target,ENSG00000162337,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,LTB4R-D002545,Brain Ischemia,LTB4R,Preclinical,False,,,,unsupported target,ENSG00000213903,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,MAG-D002545,Brain Ischemia,MAG,Phase II,True,True,False,,unsupported target,ENSG00000105695,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,MANF-D002545,Brain Ischemia,MANF,Preclinical,False,,,,unsupported target,ENSG00000145050,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,MAOB-D002545,Brain Ischemia,MAOB,Preclinical,,,,,unsupported target,ENSG00000069535,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,MAP2-D002545,Brain Ischemia,MAP2,Preclinical,False,,,,unsupported target,ENSG00000078018,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,MAP2K2-D002545,Brain Ischemia,MAP2K2,Preclinical,False,,,,unsupported target,ENSG00000126934,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,MAPK10-D002545,Brain Ischemia,MAPK10,Preclinical,False,,,,unsupported target,ENSG00000109339,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,MAPK14-D002545,Brain Ischemia,MAPK14,Phase I,True,False,,,unsupported target,ENSG00000112062,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,MAPK8IP1-D002545,Brain Ischemia,MAPK8IP1,Phase I,True,False,,,unsupported target,ENSG00000121653,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,MAPK9-D002545,Brain Ischemia,MAPK9,Preclinical,False,,,,unsupported target,ENSG00000050748,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,MAS1-D002545,Brain Ischemia,MAS1,Preclinical,False,,,,unsupported target,ENSG00000130368,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,MC1R-D002545,Brain Ischemia,MC1R,Phase II,True,True,,,unsupported target,ENSG00000258839,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,MDK-D002545,Brain Ischemia,MDK,Preclinical,False,,,,unsupported target,ENSG00000110492,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,MGLL-D002545,Brain Ischemia,MGLL,Phase I,True,False,,,unsupported target,ENSG00000074416,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,MMP10-D002545,Brain Ischemia,MMP10,Preclinical,False,,,,unsupported target,ENSG00000166670,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,MT-ND1-D002545,Brain Ischemia,MT-ND1,Preclinical,False,,,,unsupported target,ENSG00000198888,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,MT-ND2-D002545,Brain Ischemia,MT-ND2,Preclinical,False,,,,unsupported target,ENSG00000198763,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,NFE2L2-D002545,Brain Ischemia,NFE2L2,Preclinical,False,,,,unsupported target,ENSG00000116044,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,NGFR-D002545,Brain Ischemia,NGFR,Preclinical,,,,,unsupported target,ENSG00000064300,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,NLN-D002545,Brain Ischemia,NLN,Preclinical,,,,,unsupported target,ENSG00000123213,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,NOS1-D002545,Brain Ischemia,NOS1,Preclinical,False,,,,unsupported target,ENSG00000089250,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,NOS2-D002545,Brain Ischemia,NOS2,Preclinical,False,,,,unsupported target,ENSG00000007171,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,NOS3-D002545,Brain Ischemia,NOS3,Phase II,True,True,False,,unsupported target,ENSG00000164867,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,NOX4-D002545,Brain Ischemia,NOX4,Preclinical,False,,,,unsupported target,ENSG00000086991,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,NTRK2-D002545,Brain Ischemia,NTRK2,Preclinical,False,,,,unsupported target,ENSG00000148053,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,PARP1-D002545,Brain Ischemia,PARP1,Phase II,True,True,,,unsupported target,ENSG00000143799,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,PDE3A-D002545,Brain Ischemia,PDE3A,Phase III,True,True,True,False,unsupported target,ENSG00000172572,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,PDE4D-D002545,Brain Ischemia,PDE4D,Preclinical,False,,,,unsupported target,ENSG00000113448,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,PDE5A-D002545,Brain Ischemia,PDE5A,Phase II,True,True,False,,unsupported target,ENSG00000138735,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,PF4-D002545,Brain Ischemia,PF4,Preclinical,False,,,,unsupported target,ENSG00000163737,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,PGR-D002545,Brain Ischemia,PGR,Preclinical,False,,,,unsupported target,ENSG00000082175,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,PLAT-D002545,Brain Ischemia,PLAT,Launched,True,True,True,True,unsupported target,ENSG00000104368,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,PLAU-D002545,Brain Ischemia,PLAU,Phase III,True,True,True,,unsupported target,ENSG00000122861,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,PLG-D002545,Brain Ischemia,PLG,Phase II,True,True,False,,unsupported target,ENSG00000122194,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,PON1-D002545,Brain Ischemia,PON1,Preclinical,False,,,,unsupported target,ENSG00000005421,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,PPIA-D002545,Brain Ischemia,PPIA,Preclinical,False,,,,unsupported target,ENSG00000196262,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,PPID-D002545,Brain Ischemia,PPID,Preclinical,False,,,,unsupported target,ENSG00000171497,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,PRKCD-D002545,Brain Ischemia,PRKCD,Phase II,True,True,False,,unsupported target,ENSG00000163932,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,PRKCE-D002545,Brain Ischemia,PRKCE,Preclinical,,,,,unsupported target,ENSG00000171132,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,PROC-D002545,Brain Ischemia,PROC,Phase II,True,True,,,unsupported target,ENSG00000115718,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,PTEN-D002545,Brain Ischemia,PTEN,Phase I,True,False,,,unsupported target,ENSG00000171862,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,PYCARD-D002545,Brain Ischemia,PYCARD,Preclinical,False,,,,unsupported target,ENSG00000103490,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,RGMA-D002545,Brain Ischemia,RGMA,Phase II,True,True,,,unsupported target,ENSG00000182175,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,ROCK2-D002545,Brain Ischemia,ROCK2,Preclinical,False,,,,unsupported target,ENSG00000134318,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,RRM1-D002545,Brain Ischemia,RRM1,Preclinical,False,,,,unsupported target,ENSG00000167325,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,RRM2-D002545,Brain Ischemia,RRM2,Preclinical,False,,,,unsupported target,ENSG00000171848,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,RTN4-D002545,Brain Ischemia,RTN4,Preclinical,False,,,,unsupported target,ENSG00000115310,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,RYR1-D002545,Brain Ischemia,RYR1,Phase I,True,,,,unsupported target,ENSG00000196218,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,S1PR1-D002545,Brain Ischemia,S1PR1,Phase II,True,True,,,unsupported target,ENSG00000170989,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,S1PR5-D002545,Brain Ischemia,S1PR5,Phase II,True,True,,,unsupported target,ENSG00000180739,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,SELE-D002545,Brain Ischemia,SELE,Preclinical,False,,,,unsupported target,ENSG00000007908,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,SELP-D002545,Brain Ischemia,SELP,Preclinical,False,,,,unsupported target,ENSG00000174175,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,SERPINF2-D002545,Brain Ischemia,SERPINF2,Phase I,True,False,,,unsupported target,ENSG00000167711,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,SHH-D002545,Brain Ischemia,SHH,Preclinical,False,,,,unsupported target,ENSG00000164690,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,SIGMAR1-D002545,Brain Ischemia,SIGMAR1,Preclinical,,,,,unsupported target,ENSG00000147955,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,SLC18A2-D002545,Brain Ischemia,SLC18A2,Phase I,True,False,,,unsupported target,ENSG00000165646,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,SLC6A2-D002545,Brain Ischemia,SLC6A2,Phase III,True,True,True,False,unsupported target,ENSG00000103546,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,SLC6A4-D002545,Brain Ischemia,SLC6A4,Phase III,True,True,True,False,unsupported target,ENSG00000108576,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,SRC-D002545,Brain Ischemia,SRC,Preclinical,False,,,,unsupported target,ENSG00000197122,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,SRR-D002545,Brain Ischemia,SRR,Preclinical,False,,,,unsupported target,ENSG00000167720,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
