,gene_id,gene_name,disease,disease_ontology_id,ct_marker_evidence,disease_evidence,disease_ct_evidence,bulk_disease_evidence,genetic_evidence_OT,is_hvg_normal,is_hvg_disease,ti_uid,indication_mesh_id,indication_mesh_term,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,MONDO,genetic_evidence_minikel
45931,ENSG00000067182,TNFRSF1A,pneumonia,MONDO_0005249,0.0,1.0,1.0,0.0,0.0,1.0,1.0,TNFRSF1A-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
46573,ENSG00000091592,NLRP1,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NLRP1-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
46579,ENSG00000091879,ANGPT2,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ANGPT2-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
46581,ENSG00000091972,CD200,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CD200-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
47289,ENSG00000105329,TGFB1,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TGFB1-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
47370,ENSG00000105851,PIK3CG,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PIK3CG-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
47435,ENSG00000106366,SERPINE1,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SERPINE1-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
48432,ENSG00000118257,NRP2,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NRP2-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
48689,ENSG00000121966,CXCR4,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CXCR4-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
49467,ENSG00000131747,TOP2A,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TOP2A-D011014,D011014,Pneumonia,Launched,True,True,True,True,unsupported target,MONDO_0005249,0.0
49961,ENSG00000136244,IL6,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL6-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
50391,ENSG00000140009,ESR2,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ESR2-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
50878,ENSG00000144891,AGTR1,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,0.0,AGTR1-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
51142,ENSG00000148180,GSN,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,GSN-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
52235,ENSG00000162711,NLRP3,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NLRP3-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
52800,ENSG00000165973,NELL1,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NELL1-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
53632,ENSG00000171608,PIK3CD,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PIK3CD-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
53941,ENSG00000174175,SELP,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SELP-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
55276,ENSG00000188404,SELL,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SELL-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
57141,ENSG00000276045,ORAI1,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ORAI1-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
57250,ENSG00000006210,CX3CL1,Crohn disease,MONDO_0005011,0.0,1.0,0.0,1.0,0.0,1.0,1.0,CX3CL1-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57256,ENSG00000012779,ALOX5,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ALOX5-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
57289,ENSG00000065989,PDE4A,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,1.0,1.0,1.0,PDE4A-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57291,ENSG00000067182,TNFRSF1A,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,TNFRSF1A-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57298,ENSG00000073756,PTGS2,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,PTGS2-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
57336,ENSG00000095303,PTGS1,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PTGS1-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57346,ENSG00000099866,MADCAM1,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,MADCAM1-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57368,ENSG00000100985,MMP9,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,MMP9-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,genetically supported target,,1.0
57369,ENSG00000101017,CD40,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,CD40-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
57376,ENSG00000101665,SMAD7,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,SMAD7-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
57385,ENSG00000103522,IL21R,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,1.0,1.0,1.0,IL21R-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,genetically supported target,,1.0
57389,ENSG00000104312,RIPK2,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,RIPK2-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57397,ENSG00000105639,JAK3,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,JAK3-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57398,ENSG00000105650,PDE4C,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4C-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
57420,ENSG00000108691,CCL2,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,CCL2-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,genetically supported target,,1.0
57424,ENSG00000109320,NFKB1,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,NFKB1-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,genetically supported target,,1.0
57426,ENSG00000109471,IL2,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,1.0,1.0,1.0,IL2-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57433,ENSG00000110944,IL23A,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,IL23A-D003424,D003424,Crohn Disease,Launched,True,True,True,True,unsupported target,,0.0
57436,ENSG00000111321,LTBR,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,LTBR-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57439,ENSG00000111537,IFNG,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,1.0,1.0,1.0,IFNG-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
57445,ENSG00000112115,IL17A,Crohn disease,MONDO_0005011,1.0,1.0,1.0,0.0,0.0,1.0,1.0,IL17A-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57457,ENSG00000113263,ITK,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ITK-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57461,ENSG00000113448,PDE4D,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4D-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
57464,ENSG00000113580,NR3C1,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NR3C1-D003424,D003424,Crohn Disease,Launched,True,True,True,True,unsupported target,,0.0
57469,ENSG00000114013,CD86,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CD86-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
57476,ENSG00000115232,ITGA4,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,ITGA4-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,genetically supported target,,1.0
57504,ENSG00000117480,FAAH,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,FAAH-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57526,ENSG00000121594,CD80,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CD80-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
57552,ENSG00000125910,S1PR4,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,S1PR4-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
57616,ENSG00000136244,IL6,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,1.0,1.0,1.0,IL6-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57617,ENSG00000136634,IL10,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,IL10-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57618,ENSG00000136869,TLR4,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,1.0,1.0,1.0,TLR4-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57645,ENSG00000139626,ITGB7,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ITGB7-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57699,ENSG00000150782,IL18,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL18-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57731,ENSG00000156738,MS4A1,Crohn disease,MONDO_0005011,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MS4A1-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57760,ENSG00000160712,IL6R,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,1.0,1.0,1.0,IL6R-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
57773,ENSG00000162594,IL23R,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,1.0,1.0,1.0,IL23R-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,genetically supported target,,1.0
57791,ENSG00000163599,CTLA4,Crohn disease,MONDO_0005011,1.0,1.0,0.0,1.0,1.0,1.0,1.0,CTLA4-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
57837,ENSG00000168685,IL7R,Crohn disease,MONDO_0005011,1.0,1.0,1.0,0.0,1.0,1.0,1.0,IL7R-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
57848,ENSG00000169245,CXCL10,Crohn disease,MONDO_0005011,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CXCL10-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57863,ENSG00000170989,S1PR1,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,S1PR1-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
57870,ENSG00000172156,CCL11,Crohn disease,MONDO_0005011,0.0,0.0,0.0,1.0,1.0,1.0,1.0,CCL11-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
57886,ENSG00000173585,CCR9,Crohn disease,MONDO_0005011,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CCR9-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
57960,ENSG00000184588,PDE4B,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4B-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,genetically supported target,,1.0
57999,ENSG00000188906,LRRK2,Crohn disease,MONDO_0005011,0.0,1.0,0.0,1.0,1.0,1.0,1.0,LRRK2-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,genetically supported target,,1.0
58029,ENSG00000198223,CSF2RA,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CSF2RA-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
58034,ENSG00000198851,CD3E,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CD3E-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
58056,ENSG00000213694,S1PR3,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,S1PR3-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
58065,ENSG00000228716,DHFR,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,DHFR-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
58090,ENSG00000267534,S1PR2,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,S1PR2-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
58097,ENSG00000282608,ADORA3,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ADORA3-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
58342,ENSG00000010810,FYN,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,FYN-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
58385,ENSG00000012504,NR1H4,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NR1H4-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
58818,ENSG00000059377,TBXAS1,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TBXAS1-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
58948,ENSG00000065675,PRKCQ,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PRKCQ-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
59026,ENSG00000068078,FGFR3,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,FGFR3-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
59462,ENSG00000081051,AFP,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,AFP-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
59511,ENSG00000082781,ITGB5,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,ITGB5-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
59642,ENSG00000087245,MMP2,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,MMP2-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
59938,ENSG00000096996,IL12RB1,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,IL12RB1-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
60003,ENSG00000099985,OSM,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,OSM-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
60645,ENSG00000104321,TRPA1,Crohn disease,MONDO_0005011,1.0,1.0,0.0,1.0,0.0,1.0,1.0,TRPA1-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
60721,ENSG00000104870,FCGRT,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,FCGRT-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
60806,ENSG00000105329,TGFB1,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,TGFB1-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,genetically supported target,,1.0
61395,ENSG00000110324,IL10RA,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL10RA-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
61442,ENSG00000110876,SELPLG,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SELPLG-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
61675,ENSG00000112715,VEGFA,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,VEGFA-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
61772,ENSG00000113721,PDGFRB,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,PDGFRB-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
62095,ENSG00000116678,LEPR,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,LEPR-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
62182,ENSG00000117394,SLC2A1,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SLC2A1-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
62204,ENSG00000117525,F3,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,F3-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
62621,ENSG00000122025,FLT3,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,FLT3-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
62962,ENSG00000125538,IL1B,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL1B-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
62986,ENSG00000125735,TNFSF14,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,TNFSF14-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
63610,ENSG00000131471,AOC3,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,AOC3-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
63959,ENSG00000134318,ROCK2,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ROCK2-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
64330,ENSG00000136689,IL1RN,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL1RN-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
64628,ENSG00000138448,ITGAV,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,ITGAV-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,genetically supported target,,1.0
65132,ENSG00000142677,IL22RA1,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,IL22RA1-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
65570,ENSG00000146070,PLA2G7,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PLA2G7-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
65857,ENSG00000148926,ADM,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,ADM-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
65968,ENSG00000150093,ITGB1,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,ITGB1-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
66615,ENSG00000157404,KIT,Crohn disease,MONDO_0005011,1.0,1.0,1.0,0.0,0.0,1.0,1.0,KIT-D003424,D003424,Crohn Disease,Phase III,True,True,True,False,unsupported target,,0.0
67024,ENSG00000161638,ITGA5,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ITGA5-D003424,D003424,Crohn Disease,Phase II,True,True,False,False,unsupported target,,0.0
67176,ENSG00000162711,NLRP3,Crohn disease,MONDO_0005011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NLRP3-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
67270,ENSG00000163131,CTSS,Crohn disease,MONDO_0005011,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CTSS-D003424,D003424,Crohn Disease,Phase I,True,False,False,False,unsupported target,,0.0
67381,ENSG00000163606,CD200R1,Crohn disease,MONDO_0005011,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CD200R1-D003424,D003424,Crohn Disease,Preclinical,False,False,False,False,unsupported target,,0.0
